iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.5992151592	0.9171565941	0.9047619048
1	0.5272417378	0.9171565941	0.9047619048
2	0.4718279065	0.9171565941	0.9047619048
3	0.4285044329	0.9171565941	0.9047619048
4	0.3943034058	0.9171565941	0.9047619048
5	0.3675495968	0.9171565941	0.9047619048
6	0.3469360513	0.9171565941	0.9047619048
7	0.3320823261	0.9171565941	0.9047619048
8	0.3195297947	0.9171565941	0.9047619048
9	0.3091244044	0.9171565941	0.9047619048
10	0.3014607007	0.9171565941	0.9047619048
11	0.2953783154	0.9171565941	0.9047619048
12	0.2888366011	0.9171565941	0.9047619048
13	0.2841169887	0.9171565941	0.9047619048
14	0.2801619034	0.9176775905	0.9054010866
15	0.2765280046	0.9181403599	0.9060402685
16	0.274108272	0.9183968919	0.9060402685
17	0.27208098	0.9176775905	0.9054010866
18	0.2698430792	0.9176775905	0.9054010866
19	0.2682781307	0.9181705171	0.9057206775
20	0.2667574443	0.9181705171	0.9057206775
21	0.2656548746	0.9181251446	0.9057206775
22	0.2640066827	0.9195426126	0.9076382231
23	0.262950406	0.9195467027	0.9076382231
24	0.2620369333	0.9195168877	0.907957814
25	0.2612186343	0.9212858481	0.9098753595
26	0.260220995	0.9209876116	0.9095557686
27	0.2593237363	0.9218971651	0.9105145414
28	0.258199627	0.9218971651	0.9105145414
29	0.2574239463	0.9221309022	0.9108341323
30	0.2561991639	0.922304869	0.9111537232
31	0.2550820377	0.9220817711	0.9108341323
32	0.2541469921	0.9223073231	0.9111537232
33	0.2537756286	0.9223073231	0.9111537232
34	0.2534262796	0.9223073231	0.9111537232
35	0.252845279	0.9223161266	0.9111537232
36	0.251910679	0.9223161266	0.9111537232
37	0.2512991859	0.9223161266	0.9111537232
38	0.2508313256	0.9225435376	0.9114733142
39	0.2502517643	0.9228741679	0.9117929051
40	0.2494890391	0.9225435376	0.9114733142
41	0.2490857711	0.9228741679	0.9117929051
42	0.2486306406	0.9228741679	0.9117929051
43	0.2479273719	0.9226467568	0.9114733142
44	0.2472784068	0.9228708958	0.9117929051
45	0.2469108182	0.9233240819	0.9124320869
46	0.2464235639	0.9235482208	0.9127516779
47	0.2456317595	0.9237894838	0.9130712688
48	0.2452636788	0.9237894838	0.9130712688
49	0.2451385532	0.9237894838	0.9130712688
50	0.2444448415	0.9242282726	0.9137104506
51	0.2440401385	0.9242282726	0.9137104506
52	0.2436096898	0.9242282726	0.9137104506
53	0.2431297779	0.9242282726	0.9137104506
54	0.2427217198	0.9240070785	0.9133908597
55	0.2423680396	0.9242397249	0.9137104506
56	0.2420638645	0.9246716423	0.9143496325
57	0.2413918583	0.9246716423	0.9143496325
58	0.241214268	0.9246716423	0.9143496325
59	0.2409542571	0.9248928364	0.9146692234
60	0.2405301392	0.9248928364	0.9146692234
61	0.2401753509	0.9248928364	0.9146692234
62	0.2394364833	0.9246768777	0.9143496325
63	0.2389380495	0.9246768777	0.9143496325
64	0.2383569697	0.9248928364	0.9146692234
65	0.2378067824	0.9248928364	0.9146692234
66	0.2369645034	0.9248928364	0.9146692234
67	0.2363299085	0.9251305694	0.9149888143
