iter	Passed	Remaining
0	57	56943
1	59	29625
2	60	20142
3	61	15377
4	62	12520
5	64	10610
6	65	9287
7	66	8258
8	67	7457
9	68	6822
10	69	6280
11	71	5848
12	72	5474
13	73	5159
14	74	4885
15	75	4652
16	76	4433
17	80	4367
18	85	4392
19	86	4246
20	87	4091
21	88	3950
22	89	3822
23	91	3711
24	92	3613
25	93	3518
26	95	3433
27	96	3344
28	97	3261
29	99	3203
30	100	3133
31	101	3067
32	102	3005
33	104	2967
34	105	2908
35	106	2855
36	107	2805
37	108	2757
38	110	2712
39	111	2671
40	112	2630
41	113	2591
42	114	2552
43	117	2546
44	118	2512
45	119	2479
46	120	2444
47	122	2422
48	123	2398
49	128	2437
50	129	2408
51	130	2381
52	131	2356
53	133	2330
54	134	2304
55	135	2280
56	136	2253
57	140	2287
58	142	2266
59	149	2334
60	150	2312
61	152	2301
62	155	2314
63	156	2292
64	157	2271
65	158	2248
66	160	2228
67	161	2209
68	162	2190
69	163	2178
70	165	2169
71	167	2157
72	168	2140
73	169	2121
74	171	2115
75	172	2099
76	173	2081
77	174	2066
78	176	2059
79	177	2044
80	178	2028
81	180	2016
82	181	2004
83	182	1993
84	184	1987
85	185	1974
86	186	1962
87	188	1950
88	189	1937
89	190	1930
90	192	1917
91	193	1912
92	195	1903
93	196	1893
94	197	1882
95	199	1874
96	200	1864
97	201	1855
98	203	1852
99	206	1857
100	207	1851
101	209	1841
102	210	1831
103	211	1821
104	213	1817
105	214	1809
106	216	1809
107	218	1803
108	219	1794
109	220	1783
110	221	1775
111	223	1768
112	224	1760
113	225	1751
114	226	1743
115	227	1735
116	228	1727
117	229	1718
118	230	1709
119	232	1707
120	235	1710
121	237	1705
122	238	1700
123	241	1704
124	242	1697
125	244	1698
126	246	1693
127	247	1685
128	248	1677
129	249	1670
130	250	1663
131	252	1657
132	253	1651
133	257	1661
134	258	1654
135	259	1646
136	261	1646
137	265	1657
138	266	1649
139	267	1642
140	269	1640
141	270	1634
